NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
B.I.O.P. S.R.L. CONSORTILE - SOCIETA' AGRICOL;Cesena;FC;€ 14'613'412;2023-05-18
SIDERFLANGE - S.R.L.;Cesena;FC;€ 14'583'331;2023-05-18
GED SRL PREFABBRICATI IN C.A., C.A.P. E CARPE;Cesena;FC;€ 14'235'686;2023-05-18
CNA SERVIZI FORLI'-CESENA SOCIETA' COOPERATIV;Forli';FC;€ 14'176'037;2023-05-18
CASA DI CURA PRIVATA SAN LORENZINO S.P.A.;Cesena;FC;€ 14'058'632;2023-05-18
ROMAGNA CAVI S.P.A.;Cesena;FC;€ 14'030'829;2023-05-18
COOPERATIVA METALLURGICA CESENATE - SOCIETA';Cesena;FC;€ 13'768'714;2023-05-18
TECNOLOG ITALIA SOCIETA' A RESPONSABILITA' LI;Cesena;FC;€ 13'756'064;2023-05-18
DHOLLANDIA ITALIA SRL;Cesena;FC;€ 13'407'086;2023-05-18
SOC. AUTOTRASPORTI MONTEFELTRO-S.A.M.;Cesena;FC;€ 13'259'671;2023-05-18
CAAF S.R.L.;Cesena;FC;€ 13'166'833;2023-05-18
GB CATALYST S.R.L.;Cesena;FC;€ 13'033'356;2023-05-18
M.A.F. RODA ITALIA - S.R.L.;Cesena;FC;€ 13'020'730;2023-05-18
CENTRO INGROSSO ABBIGLIAMENTO MERCERIA - S.R.;Cesena;FC;€ 12'986'912;2023-05-18
CONSORZIO SATIVA SOCIETA' COOPERATIVA AGRICOL;Cesena;FC;€ 12'818'795;2023-05-18
C.I.L.S. COOPERATIVA SOCIALE PER L'INSERIMENT;Cesena;FC;€ 12'787'285;2023-05-18
MARALDI SEMENTI SRL;Cesena;FC;€ 12'629'793;2023-05-18
BRUNELLI DANIELE S.R.L.;Cesena;FC;€ 12'589'352;2023-05-18
C&C GROUP S.R.L.;Cesena;FC;€ 12'206'194;2023-05-18
ONIT GROUP S.R.L.;Cesena;FC;€ 12'006'058;2023-05-18
PIRACCINI SECONDO S.R.L.;Cesena;FC;€ 11'808'530;2023-05-18
CONSORZIO C.A.I.E.C. SOCIETA' COOPERATIVA IN;Cesena;FC;€ 11'760'299;2023-05-18
ZAMAGNA S.R.L.;Cesena;FC;€ 11'752'329;2023-05-18
PSM S.P.A.;Cesena;FC;€ 11'733'734;2023-05-18
SER.MAC SRL;Cesena;FC;€ 11'707'218;2023-05-18
MONTI - S.R.L.;Cesena;FC;€ 11'650'360;2023-05-18
BIONDI AUTOTRASPORTI S.R.L.;Cesena;FC;€ 11'584'035;2023-05-18
ROBATECH ITALIA - S.R.L.;Cesena;FC;€ 11'539'936;2023-05-18
PERUGINI FRUTTA S.P.A. CONSORTILE - SOCIETA';Cesena;FC;€ 11'379'279;2023-05-18
CONSORZIO SOLONATURA - SOC. COOP. CONSORTILE;Cesena;FC;€ 11'308'124;2023-05-18
CO.I.R. - CONSORZIO IMPRESE ROMAGNOLE;Cesena;FC;€ 11'306'404;2023-05-18
TREVI - FINANZIARIA INDUSTRIALE S.P.A.;Cesena;FC;€ 11'267'000;2023-05-18
BIOPLANET S.R.L.;Cesena;FC;€ 11'161'340;2023-05-18
CORA SEEDS S.R.L.;Cesena;FC;€ 10'976'846;2023-05-18
E.I.A.R. - ESPORTAZIONE IMPORTAZIONE AGRICOLA;Cesena;FC;€ 10'894'284;2023-05-18
IEME S.R.L.;Cesena;FC;€ 10'892'840;2023-05-18
ATI DI MARIANI SRL;Cesena;FC;€ 10'882'614;2023-05-18
NOLPAL SRL;Cesena;FC;€ 10'807'786;2023-05-18
CAMAC S.R.L.;Cesena;FC;€ 10'798'714;2023-05-18
GEL-FRIGOR GROUP SRL;Cesena;FC;€ 10'382'002;2023-05-18
F.LLI MAGNANI S.R.L.;Cesena;FC;€ 10'309'292;2023-05-18
C.A.C. CONSORZIO AUTOTRASPORTI CESENATE;Cesena;FC;€ 10'297'039;2023-05-18
CENT.A.R. - S.R.L. CENTRO AUTORICAMBI ROMAGNA;Cesena;FC;€ 10'244'112;2023-05-18
CONSORZIO C.A.A.F. (CONSORZIO AUTOTRASPORTI A;Cesena;FC;€ 10'116'680;2023-05-18
GREENIUS SRL;Cesena;FC;€ 9'944'242;2023-05-18
AG CORES S.R.L.;Cesena;FC;€ 9'856'678;2023-05-18
IL BOSCO SOCIETA' COOPERATIVA AGRICOLA;Cesena;FC;€ 9'835'683;2023-05-18
MASE GENERATORS S.P.A.;Cesena;FC;€ 9'814'246;2023-05-18
FABBRI COOL SYSTEM S.R.L.;Cesena;FC;€ 9'752'579;2023-05-18
SOCIETA' AGRICOLA ITALIANA SEMENTI (S.A.I.S.);Cesena;FC;€ 9'682'789;2023-05-18
SBE S.R.L.;Cesena;FC;€ 9'664'163;2023-05-18
COOPERATIVA SOCIALE ASSO - AGENZIA SERVIZI &;Cesena;FC;€ 9'479'337;2023-05-18
MEDRI S.R.L.;Cesena;FC;€ 9'188'958;2023-05-18
OMBRELLIFICIO R.T. MAGNANI S.R.L.;Cesena;FC;€ 9'094'177;2023-05-18
LAMIERAPIU' SOCIETA' COOPERATIVA;Cesena;FC;€ 8'947'158;2023-05-18
ORTLEBONTA' S.R.L.;Cesena;FC;€ 8'872'818;2023-05-18
MOSCONI S.R.L.;Cesena;FC;€ 8'629'063;2023-05-18
ZOFFOLI BANANE S.R.L.;Cesena;FC;€ 8'574'647;2023-05-18
ORGANICA S.R.L.;Cesena;FC;€ 8'525'127;2023-05-18
B. & G. ECOLYNE COM. SRL;Cesena;FC;€ 8'519'558;2023-05-18
NEXTMEDIA S.R.L.;Cesena;FC;€ 8'481'284;2023-05-18
MINERVA 2000 S.R.L.;Cesena;FC;€ 8'434'782;2023-05-18
STRUBE ITALIA S.R.L.;Cesena;FC;€ 8'283'738;2023-05-18
C.R. BUS FORLI' - CESENA SOCIETA' COOPERATIVA;Forlimpopoli;FC;€ 8'198'056;2023-05-18
ORTOGEST SPA CONSORTILE SOCIETA' AGRICOLA O I;Cesena;FC;€ 8'091'957;2023-05-18
ORTOMERCATO - S.R.L.;Cesena;FC;€ 7'944'962;2023-05-18
S.C.M. S.R.L.;Cesena;FC;€ 7'928'979;2023-05-18
AGORA' S.R.L.;Cesena;FC;€ 7'818'610;2023-05-18
TEC.AL. S.R.L.;Cesena;FC;€ 7'805'924;2023-05-18
CASACCI PETROLI SRL;Cesena;FC;€ 7'580'193;2023-05-18
COIBENT SERVICE SRL;Cesena;FC;€ 7'329'561;2023-05-18
PLASTICA CESENA S.R.L.;Forlimpopoli;FC;€ 7'178'151;2023-05-18
ARCOBALENO CESENA SOCIETA' COOPERATIVA CONSOR;Cesena;FC;€ 6'985'608;2023-05-18
G.F. S.P.A. CONSORTILE - SOCIETA' AGRICOLA;Cesena;FC;€ 6'792'552;2023-05-18
SISTEMI FOTOVOLTAICI.COM SRL;Cesena;FC;€ 6'705'138;2023-05-18
CESENA TOOLS SRL;Cesena;FC;€ 6'660'703;2023-05-18
WINDSOL SRL;Cesena;FC;€ 6'580'286;2023-05-18
CLEAN SERVICE ROMAGNA SOCIETA' COOPERATIVA;Cesena;FC;€ 6'394'672;2023-05-18
GASPERINI S.R.L.;Cesena;FC;€ 6'233'485;2023-05-18
SIEM IMPIANTI SOCIETA' COOPERATIVA;Cesena;FC;€ 6'232'344;2023-05-18
SERAGRI S.R.L.;Cesena;FC;€ 6'188'793;2023-05-18
ECO S.R.L.;Cesena;FC;€ 6'152'559;2023-05-18
RCS ITALIA SRL;Cesena;FC;€ 6'130'306;2023-05-18
HERBOPLANET S.R.L.;Cesena;FC;€ 6'067'525;2023-05-18
DYNAMICA SRL;Cesena;FC;€ 6'054'931;2023-05-18
F.LLI BISSIONI S.R.L.;Cesena;FC;€ 5'983'165;2023-05-18
PIERI S.R.L.;Cesena;FC;€ 5'912'467;2023-05-18
GENERAL SYSTEM S.R.L.;Cesena;FC;€ 5'885'494;2023-05-18
M.B.M. S.R.L.;Cesena;FC;€ 5'818'074;2023-05-18
AERTECNICA S.P.A.;Cesena;FC;€ 5'676'466;2023-05-18
WATER TEAM S.R.L.;Cesena;FC;€ 5'671'739;2023-05-18
LOGITRANS S.R.L.;Cesena;FC;€ 5'619'980;2023-05-18
ALASKA S.R.L.;Cesena;FC;€ 5'502'495;2023-05-18
COMBITRAS S.R.L.;Cesena;FC;€ 5'465'513;2023-05-18
ZINCATURIFICIO CESENATE S.R.L.;Cesena;FC;€ 5'465'345;2023-05-18
IL CANTIERE COSTRUZIONI S.R.L.;Cesena;FC;€ 5'454'159;2023-05-18
LASERPIU' SOCIETA' COOPERATIVA;Cesena;FC;€ 5'452'024;2023-05-18
FIBERGLASS DI ROSSI SERGIO S.R.L.;Cesena;FC;€ 5'449'812;2023-05-18
EDIZIONI BARZANTI S.R.L.;Cesena;FC;€ 5'418'895;2023-05-18
CONFARTIGIANATO SERVIZI SOCIETA' COOPERATIVA;Cesena;FC;€ 5'414'648;2023-05-18
