NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
R.F. RESINA FORLIVESE S.R.L.;Forli';FC;€ 6'206'444;2023-05-18
VENTURI SRL;Forli';FC;€ 6'204'928;2023-05-18
MEDOC SRL;Forli';FC;€ 6'179'030;2023-05-18
LAFOR - SOCIETA' A RESPONSABILITA' LIMITATA;Forli';FC;€ 6'167'479;2023-05-18
MAR PRODUZIONI S.R.L.;Forli';FC;€ 6'112'782;2023-05-18
MENTOR S.R.L.;Forli';FC;€ 6'111'199;2023-05-18
G.P.S. ENGINEERING S.R.L.;Forli';FC;€ 6'023'537;2023-05-18
OMNIA - SOCIETA' A RESPONSABILITA' LIMITATA;Forli';FC;€ 6'002'434;2023-05-18
PUBBLIFEST - SOCIETA' COOPERATIVA PER AZIONI;Forli';FC;€ 5'973'909;2023-05-18
BOVELACCI S.R.L.;Forli';FC;€ 5'947'489;2023-05-18
IMMOBILIARE SAN MERCURIALE S.R.L.;Forli';FC;€ 5'921'020;2023-05-18
GARAVINI SRL;Forli';FC;€ 5'785'365;2023-05-18
FOR.B SOCIETA' COOPERATIVA SOCIALE - IMPRESA;Forli';FC;€ 5'768'703;2023-05-18
METAL SERVICE - S.R.L.;Forli';FC;€ 5'763'951;2023-05-18
ETICA'S S.R.L.;Forli';FC;€ 5'760'174;2023-05-18
RTS - REMOTE TERMINAL SYSTEM S.R.L.;Forli';FC;€ 5'660'708;2023-05-18
NAVICO FORLI' S.R.L.;Forli';FC;€ 5'601'365;2023-05-18
IL PANIFICIO DI CAMILLO S.R.L.;Forli';FC;€ 5'585'770;2023-05-18
OPERA S.R.L.;Forli';FC;€ 5'577'124;2023-05-18
BLOKRESINE S.R.L.;Forli';FC;€ 5'563'775;2023-05-18
VISANI IDROSANITARI RISCALDAMENTO DI ROBERTO;Forli';FC;€ 5'556'721;2023-05-18
PROECO SRL;Forli';FC;€ 5'543'244;2023-05-18
GLOBAL SISTEMI S.R.L.;Forli';FC;€ 5'510'977;2023-05-18
IDEALTERMO S.R.L.;Forli';FC;€ 5'487'380;2023-05-18
GRAFICHE MDM - S.R.L. SOCIETA' BENEFIT O IN F;Forli';FC;€ 5'460'429;2023-05-18
J.J.L. CATAMARANS SRL;Forli';FC;€ 5'440'373;2023-05-18
EDILCAPACCI S.R.L.;Forli';FC;€ 5'332'701;2023-05-18
